Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,60/30,4/6,22/16,-,-,34/8
2024,16/3,2/1,9/2,-,-,5/0
2023,32/11,1/3,2/1,-,-,29/7
2022,7/5,1/1,6/3,-,-,0/1
2021,5/10,-,5/10,-,-,-
2019,0/1,0/1,-,-,-,-
