Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.06.,Ferrari G.,2,,,,,,"['3', '3', '5', '3']","['1', '0']","['1', '0', '4', '1']",[],[],1.50
26.06.,Baroni N.,1,,,,,,"['1', '0']","['4', '4', '6', '4']",[],[],[],2.44
24.06.,Baroni N.,2,,,,,,"['3', '3', '6', '4']","['2', '0', '4', '2', '6', '2']",[],[],[],1.64
24.06.,Marino P.,0,,,,,,"['1', '0']","['2', '3']",[],[],[],2.14
17.06.,Pecci A.,2,,,,,,"['2', '0', '6', '4']","['2', '0', '5', '1']",[],[],[],1.44
17.06.,Baroni N.,0,,,,,,"['1', '2']","['2', '5']",[],[],[],2.62
22.09.2024,Sanchez Martinez B.,2,,,,,,"['1', '0', '4', '1']","['2', '1', '4', '1']",[],[],[],1.62
22.09.2024,Baroni N.,0,,,,,,[],[],[],[],[],2.18
21.09.2024,Baroni N.,2,,,,,,"['1', '0', '5', '2', '6', '3']","['3', '1', '4', '2', '6', '2']",[],[],[],-
21.09.2024,Martinez Serrano M.,0,,,,,,"['3', '5']","['2', '3']",[],[],[],-
20.09.2024,Baroni N.,2,,,,,,"['2', '2', '3', '3', '6', '4']","['1', '1', '3', '1', '5', '1']",[],[],[],1.97
20.09.2024,Bulus C.,0,,,,,,"['2', '1', '3', '2']","['1', '0']",[],[],[],1.74
19.09.2024,Baroni N.,2,,,,,,"['4', '5']","['2', '0', '5', '3']",[],[],[],1.69
19.09.2024,Leach J.,0,,,,,,"['3', '1']","['3', '4']",[],[],[],2.06
18.09.2024,Baroni N.,2,,,,,,"['1', '4']","['6', '5']","['2', '1']",[],[],2.15
