Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.08.,Zeppieri G.,2,,,,,,22,9,60%,83% (57/69),43% (20/46),67% (4/6),186 km/h,145 km/h,30% (28/92),51% (18/35),14% (2/14),50,36,71% (15/21),67% (77/115),36% (46/127),51% (123/242),7,0,88% (15/17),12% (2/17),50% (17/34),[],"['5', '3']","['6', '5']",[],[],20.0
19.08.,Habib H.,1,,,,,,13,9,72%,70% (64/92),49% (17/35),86% (12/14),182 km/h,164 km/h,17% (12/69),57% (26/46),33% (2/6),38,49,62% (16/26),64% (81/127),33% (38/115),49% (119/242),3,1,88% (15/17),12% (2/17),50% (17/34),"['4', '3']","['4', '5']",[],[],[],1.26
12.08.,Faria J.,2,,,,,,17,6,59%,83% (48/58),55% (22/40),60% (3/5),41% (31/75),48% (15/31),45% (5/11),46,36,72% (13/18),71% (70/98),43% (46/106),57% (116/204),8,0,88% (14/16),33% (5/15),61% (19/31),"['1', '0']","['2', '0', '4', '0']","['2', '1', '6', '5']",[],[],1.60
12.08.,Habib H.,1,,,,,,10,5,71%,59% (44/75),52% (16/31),55% (6/11),17% (10/58),45% (18/40),40% (2/5),25,36,50% (6/12),57% (60/106),29% (28/98),43% (88/204),2,0,67% (10/15),13% (2/16),39% (12/31),"['5', '5']",[],"['5', '5']",[],[],21.5
08.08.,Zheng M.,2,,,,,,5,4,66%,76% (28/37),58% (11/19),100% (1/1),28% (8/29),52% (12/23),100% (3/3),17,11,80% (4/5),70% (39/56),38% (20/52),55% (59/108),7,0,100% (9/9),30% (3/10),63% (12/19),"['1', '0']","['1', '0', '6', '3']",[],[],[],21.5
08.08.,Habib H.,0,,,,,,4,3,56%,72% (21/29),48% (11/23),0% (0/3),24% (9/37),42% (8/19),0% (0/1),19,16,86% (6/7),62% (32/52),30% (17/56),45% (49/108),3,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],1.66
07.08.,Habib H.,2,,,,,,8,4,73%,66% (38/58),55% (12/22),86% (6/7),14% (4/28),61% (19/31),60% (3/5),15,27,33% (2/6),63% (50/80),39% (23/59),53% (73/139),6,0,91% (10/11),27% (3/11),59% (13/22),"['2', '1', '6', '5']","['5', '4']",[],[],[],1.59
07.08.,Banerjee S.,0,,,,,,7,3,47%,86% (24/28),39% (12/31),40% (2/5),34% (20/58),45% (10/22),14% (1/7),18,27,100% (5/5),61% (36/59),38% (30/80),47% (66/139),4,1,73% (8/11),9% (1/11),41% (9/22),"['2', '2']",[],[],[],[],2.27
05.08.,Habib H.,2,,,,,,0,3,55%,76% (31/41),55% (18/33),80% (4/5),23% (10/44),56% (22/39),33% (3/9),15,36,70% (14/20),66% (49/74),39% (32/83),52% (81/157),7,0,90% (9/10),27% (3/11),57% (12/21),[],"['2', '3', '4', '3', '6', '3']",[],[],[],1.69
05.08.,Kang K.,0,,,,,,5,4,53%,77% (34/44),44% (17/39),67% (6/9),24% (10/41),45% (15/33),20% (1/5),16,30,60% (3/5),61% (51/83),34% (25/74),48% (76/157),3,0,73% (8/11),10% (1/10),43% (9/21),[],"['2', '0']",[],[],[],2.09
30.07.,Hussey G.,2,,,,,,4,3,62%,76% (31/41),64% (16/25),0% (0/1),17% (8/47),70% (19/27),22% (2/9),13,21,71% (5/7),71% (47/66),36% (27/74),53% (74/140),7,0,91% (10/11),20% (2/10),57% (12/21),"['1', '2']","['5', '3']",[],[],[],2.42
30.07.,Habib H.,0,,,,,,7,3,64%,83% (39/47),30% (8/27),78% (7/9),24% (10/41),36% (9/25),100% (1/1),19,46,55% (6/11),64% (47/74),29% (19/66),47% (66/140),3,0,80% (8/10),9% (1/11),43% (9/21),"['2', '0']",[],[],[],[],1.57
29.07.,Habib H.,2,,,,,,12,4,58%,82% (23/28),55% (11/20),100% (1/1),41% (11/27),63% (12/19),50% (4/8),18,20,75% (3/4),71% (34/48),50% (23/46),61% (57/94),5,0,100% (8/8),57% (4/7),80% (12/15),"['3', '1', '5', '1']","['1', '0', '3', '0']",[],[],[],1.88
29.07.,Zhou Y.,0,,,,,,3,3,59%,59% (16/27),37% (7/19),50% (4/8),18% (5/28),45% (9/20),0% (0/1),8,25,80% (4/5),50% (23/46),29% (14/48),39% (37/94),5,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],1.84
21.07.,Martin A.,2,,,,,,2,0,75%,67% (22/33),55% (6/11),33% (1/3),45% (13/29),75% (15/20),55% (6/11),11,14,100% (4/4),64% (28/44),57% (28/49),60% (56/93),6,0,75% (6/8),75% (6/8),75% (12/16),"['3', '1', '4', '2', '6', '2']","['2', '2', '4', '2', '6', '2']",[],[],[],1.87
21.07.,Habib H.,0,,,,,,3,4,59%,55% (16/29),25% (5/20),45% (5/11),33% (11/33),45% (5/11),67% (2/3),12,21,50% (5/10),43% (21/49),36% (16/44),40% (37/93),4,1,25% (2/8),25% (2/8),25% (4/16),"['2', '3']","['2', '1']",[],[],[],1.85
15.07.,Kovacevic A.,2,,,,,,10,3,55%,79% (31/39),63% (20/32),60% (3/5),25% (10/40),59% (24/41),33% (4/12),33,32,44% (4/9),72% (51/71),42% (34/81),56% (85/152),6,0,85% (11/13),33% (4/12),60% (15/25),"['2', '0', '4', '0']",[],"['2', '2', '4', '2']",[],[],1.33
15.07.,Habib H.,1,,,,,,5,6,49%,75% (30/40),41% (17/41),67% (8/12),21% (8/39),38% (12/32),40% (2/5),22,30,73% (8/11),58% (47/81),28% (20/71),44% (67/152),4,0,67% (8/12),15% (2/13),40% (10/25),[],"['2', '0']","['2', '1']",[],[],3.39
25.06.,Garin C.,2,,,,,,5,1,73%,71% (25/35),62% (8/13),50% (1/2),49% (22/45),63% (20/32),33% (5/15),19,4,78% (7/9),69% (33/48),55% (42/77),60% (75/125),6,0,88% (7/8),63% (5/8),75% (12/16),1330,"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '1']",[],[],[],1.16
25.06.,Habib H.,0,,,,,,7,1,58%,51% (23/45),38% (12/32),67% (10/15),29% (10/35),38% (5/13),50% (1/2),21,14,58% (11/19),45% (35/77),31% (15/48),40% (50/125),4,4,38% (3/8),13% (1/8),25% (4/16),1336,[],"['3', '5']",[],[],[],5.36
23.06.,Habib H.,2,,,,,,12,4,75%,68% (45/66),55% (12/22),40% (2/5),36% (27/74),59% (16/27),33% (5/15),51,39,60% (24/40),65% (57/88),43% (43/101),53% (100/189),7,3,80% (12/15),36% (5/14),59% (17/29),"['3', '5']","['2', '0', '5', '1']","['4', '5', '6', '5']",[],[],1.22
23.06.,Jianu F. C.,1,,,,,,3,4,73%,64% (47/74),41% (11/27),67% (10/15),32% (21/66),45% (10/22),60% (3/5),19,13,65% (11/17),57% (58/101),35% (31/88),47% (89/189),3,0,64% (9/14),20% (3/15),41% (12/29),"['2', '1', '5', '2']",[],"['2', '0']",[],[],4.38
10.06.,Landaluce M.,2,,,,,,8,6,73%,80% (60/75),54% (15/28),100% (5/5),15% (9/62),59% (23/39),22% (2/9),73% (75/103),32% (32/101),52% (107/204),5,0,100% (16/16),13% (2/15),58% (18/31),"['3', '2']",[],"['4', '2']",[],[],1.41
10.06.,Habib H.,1,,,,,,27,2,61%,85% (53/62),41% (16/39),78% (7/9),20% (15/75),46% (13/28),0% (0/5),68% (69/101),27% (28/103),48% (97/204),5,1,87% (13/15),0% (0/16),42% (13/31),[],[],[],[],[],2.77
22.05.,Cerundolo J. M.,2,,,,,,6,5,63%,65% (43/66),61% (23/38),40% (2/5),171 km/h,140 km/h,36% (21/59),50% (18/36),63% (5/8),32,36,62% (8/13),63% (66/104),41% (39/95),53% (105/199),5,0,81% (13/16),33% (5/15),58% (18/31),"['3', '4', '5', '4']","['2', '1', '4', '3']","['4', '2']",[],[],1.30
22.05.,Habib H.,1,,,,,,5,3,62%,64% (38/59),50% (18/36),38% (3/8),197 km/h,172 km/h,35% (23/66),39% (15/38),60% (3/5),30,50,56% (15/27),59% (56/95),37% (38/104),47% (94/199),5,0,67% (10/15),19% (3/16),42% (13/31),"['3', '1']","['3', '3', '5', '5']",[],[],[],3.54
20.05.,Habib H.,2,,,,,,9,1,60%,72% (42/58),67% (26/39),83% (5/6),200 km/h,169 km/h,28% (21/76),57% (30/53),29% (4/14),37,29,67% (14/21),70% (68/97),40% (51/129),53% (119/226),9,0,93% (14/15),25% (4/16),58% (18/31),[],"['2', '0']","['2', '1', '4', '1', '6', '1']",[],[],1.39
20.05.,Mena F.,1,,,,,,9,4,59%,72% (55/76),43% (23/53),71% (10/14),190 km/h,155 km/h,28% (16/58),33% (13/39),17% (1/6),37,39,65% (13/20),60% (78/129),30% (29/97),47% (107/226),1,0,75% (12/16),7% (1/15),42% (13/31),[],"['1', '2']",[],[],[],2.94
16.05.,Krueger M.,2,,,,,,5,0,69%,70% (26/37),65% (11/17),75% (3/4),33% (10/30),62% (13/21),100% (4/4),69% (37/54),45% (23/51),57% (60/105),5,0,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '3', '0']","['1', '0', '3', '0']",[],[],[],2.16
16.05.,Habib H.,0,,,,,,4,1,59%,67% (20/30),38% (8/21),0% (0/4),30% (11/37),35% (6/17),25% (1/4),55% (28/51),31% (17/54),43% (45/105),5,1,56% (5/9),11% (1/9),33% (6/18),"['2', '4']",[],[],[],[],1.65
15.05.,Habib H.,2,,,,,,6,1,64%,78% (28/36),60% (12/20),100% (6/6),41% (14/34),62% (8/13),50% (4/8),71% (40/56),47% (22/47),60% (62/103),6,0,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '4', '1', '6', '1']","['4', '2']",[],[],[],2.68
15.05.,Tirante T. A.,0,,,,,,1,1,72%,59% (20/34),38% (5/13),50% (4/8),22% (8/36),40% (8/20),0% (0/6),53% (25/47),29% (16/56),40% (41/103),4,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.48
14.05.,Habib H.,2,,,,,,14,3,67%,75% (44/59),52% (15/29),80% (4/5),26% (11/43),46% (12/26),50% (2/4),67% (60/90),33% (23/69),52% (83/159),7,0,92% (11/12),17% (2/12),54% (13/24),"['6', '5']","['3', '4']",[],[],[],1.14
14.05.,Vasa E.,0,,,,,,11,0,62%,74% (32/43),54% (14/26),50% (2/4),25% (15/59),48% (14/29),20% (1/5),67% (46/69),33% (30/90),48% (76/159),3,0,83% (10/12),8% (1/12),46% (11/24),[],"['2', '0']",[],[],[],5.05
12.05.,Habib H.,2,,,,,,3,3,63%,77% (27/35),57% (12/21),100% (4/4),33% (12/36),70% (14/20),43% (3/7),70% (39/56),46% (26/56),58% (65/112),6,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0']","['1', '0', '5', '2']",[],[],[],2.66
12.05.,Moreno De Alboran N.,0,,,,,,1,1,64%,67% (24/36),30% (6/20),57% (4/7),23% (8/35),43% (9/21),0% (0/4),54% (30/56),30% (17/56),42% (47/112),4,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],1.44
06.05.,Blockx A.,2,,,,,,1,3,59%,78% (25/32),55% (12/22),67% (2/3),45% (14/31),56% (15/27),67% (4/6),12,19,75% (3/4),69% (37/54),50% (29/58),59% (66/112),5,0,89% (8/9),44% (4/9),67% (12/18),"['3', '2', '5', '4']","['1', '0', '4', '1']",[],[],[],1.62
06.05.,Habib H.,0,,,,,,0,5,53%,55% (17/31),44% (12/27),33% (2/6),22% (7/32),45% (10/22),33% (1/3),11,41,71% (5/7),50% (29/58),31% (17/54),41% (46/112),5,0,56% (5/9),11% (1/9),33% (6/18),"['4', '4']",[],[],[],[],2.21
04.05.,Piros Z.,2,,,,,,2,1,61%,79% (22/28),78% (14/18),0% (0/0),33% (8/24),56% (10/18),75% (3/4),78% (36/46),43% (18/42),61% (54/88),8,0,100% (9/9),38% (3/8),71% (12/17),"['5', '3']","['3', '2', '5', '2']",[],[],[],1.49
04.05.,Habib H.,0,,,,,,3,2,57%,67% (16/24),44% (8/18),25% (1/4),21% (6/28),22% (4/18),0% (0/0),57% (24/42),22% (10/46),39% (34/88),2,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],2.51
03.05.,Habib H.,2,,,,,,13,3,62%,75% (45/60),43% (16/37),71% (5/7),29% (16/55),55% (16/29),50% (3/6),63% (61/97),38% (32/84),51% (93/181),8,0,87% (13/15),21% (3/14),55% (16/29),"['3', '1']","['5', '3']","['5', '4']",[],[],1.67
03.05.,Roca Batalla O.,1,,,,,,4,2,65%,71% (39/55),45% (13/29),50% (3/6),25% (15/60),57% (21/37),29% (2/7),62% (52/84),37% (36/97),49% (88/181),2,1,79% (11/14),13% (2/15),45% (13/29),"['2', '3', '4', '3']",[],[],[],[],2.12
02.05.,Habib H.,2,,,,,,4,3,55%,84% (26/31),60% (15/25),0% (0/0),30% (11/37),48% (11/23),33% (2/6),73% (41/56),37% (22/60),54% (63/116),4,0,100% (10/10),22% (2/9),63% (12/19),"['4', '2']","['4', '3']",[],[],[],3.54
02.05.,Kopriva V.,0,,,,,,3,4,62%,70% (26/37),52% (12/23),67% (4/6),16% (5/31),40% (10/25),0% (0/0),63% (38/60),27% (15/56),46% (53/116),6,2,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.27
01.05.,Habib H.,2,,,,,,10,2,61%,82% (27/33),76% (16/21),100% (1/1),32% (9/28),38% (10/26),40% (2/5),80% (43/54),35% (19/54),57% (62/108),7,0,100% (10/10),22% (2/9),63% (12/19),"['3', '1']","['5', '4']",[],[],[],1.82
01.05.,Evans D.,0,,,,,,5,5,52%,68% (19/28),62% (16/26),60% (3/5),18% (6/33),24% (5/21),0% (0/1),65% (35/54),20% (11/54),43% (46/108),3,1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.90
29.04.,Habib H.,2,,,,,,16,2,67%,81% (39/48),58% (14/24),100% (2/2),22% (11/50),61% (14/23),25% (1/4),74% (53/72),34% (25/73),54% (78/145),7,0,100% (11/11),10% (1/10),57% (12/21),"['4', '2']",[],[],[],[],1.76
