Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,35/24,3/2,28/21,4/1,-,-
2024,13/12,0/1,13/11,-,-,-
2023,9/6,-,5/5,4/1,-,-
2022,13/6,3/1,10/5,-,-,-
