Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/13,11/9,-,1/2,-,9/2
2024,5/3,1/2,-,-,-,4/1
2023,11/5,6/4,-,-,-,5/1
2022,3/2,3/2,-,-,-,-
2021,1/2,-,-,1/2,-,-
2020,1/1,1/1,-,-,-,-
