Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,453/302,371/209,52/61,7/11,3/10,20/11
2024,10/15,10/15,-,-,-,-
2023,10/11,10/9,0/1,-,0/1,-
2022,38/24,33/19,4/4,-,0/1,1/0
2021,28/21,28/18,0/3,-,-,-
2020,11/12,7/10,1/1,-,-,3/1
2019,26/21,20/16,6/4,-,0/1,-
2018,45/15,40/11,1/2,0/2,-,4/0
2017,24/12,24/12,-,-,-,-
2016,35/20,35/20,-,-,-,-
2015,18/26,12/12,5/11,-,-,1/3
2014,16/26,8/10,5/11,-,1/3,2/2
2013,33/21,23/7,6/12,-,1/1,3/1
2012,30/24,11/10,10/7,2/4,1/3,6/0
2011,42/16,41/14,-,1/2,-,-
2010,31/14,20/6,7/1,4/3,-,0/4
2009,29/10,25/8,4/2,-,-,-
2008,16/9,13/7,3/2,-,-,-
2007,11/5,11/5,-,-,-,-
