Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,249/180,228/152,13/22,2/3,-,6/3
2024,43/22,42/20,1/2,-,-,-
2023,33/25,32/23,1/2,-,-,-
2022,40/29,31/21,1/2,2/3,-,6/3
2021,33/23,33/22,0/1,-,-,-
2020,7/11,6/8,1/3,-,-,-
2019,30/18,30/17,0/1,-,-,-
2018,26/19,24/15,2/4,-,-,-
2017,19/15,15/13,4/2,-,-,-
2016,16/10,13/7,3/3,-,-,-
2015,1/6,1/4,0/2,-,-,-
2014,1/2,1/2,-,-,-,-
