Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,3/15,3/11,-,-,-,0/4
2024,2/8,2/8,-,-,-,-
2023,0/6,0/2,-,-,-,0/4
2022,1/1,1/1,-,-,-,-
