Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,451/355,63/56,227/188,69/42,65/57,27/12
2024,21/17,1/4,15/9,4/1,1/3,-
2023,32/25,2/4,18/13,6/3,6/5,-
2022,29/26,4/6,14/13,5/2,5/4,1/1
2021,10/20,0/3,6/13,-,4/4,-
2020,25/12,0/2,14/8,4/0,-,7/2
2019,27/23,1/1,23/16,0/1,3/5,-
2018,27/29,2/4,19/15,3/3,1/5,2/2
2017,32/27,5/4,11/14,2/2,10/5,4/2
2016,25/24,5/5,17/13,0/1,1/4,2/1
2015,27/26,2/5,18/13,1/3,4/3,2/2
2014,40/20,11/2,17/15,5/0,3/3,4/0
2013,19/23,0/1,7/14,7/4,2/3,3/1
2012,35/25,9/5,19/13,0/2,7/5,-
2011,41/27,10/5,14/10,13/7,2/4,2/1
2010,40/22,10/4,15/9,11/6,4/3,-
2009,21/9,1/1,-,8/7,12/1,-
