Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,225/204,148/120,63/67,14/17,-,-
2024,31/19,25/14,6/5,-,-,-
2023,36/33,21/16,9/9,6/8,-,-
2022,37/36,22/17,10/14,5/5,-,-
2021,23/23,9/9,14/14,-,-,-
2020,13/18,11/15,1/2,1/1,-,-
2019,20/23,12/12,6/8,2/3,-,-
2018,24/21,17/16,7/5,-,-,-
2017,24/21,17/13,7/8,-,-,-
2016,4/3,4/3,-,-,-,-
2015,13/7,10/5,3/2,-,-,-
