Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,16/17,12/14,4/3,-,-,-
2024,12/12,9/10,3/2,-,-,-
2023,2/3,2/3,-,-,-,-
2011,1/1,1/1,-,-,-,-
2010,1/1,-,1/1,-,-,-
