Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
30.07.2023,Dostanic S.,2,,,,,,7,1,72%,96% (22/23),67% (6/9),0% (0/0),60% (18/30),57% (8/14),45% (5/11),88% (28/32),59% (26/44),71% (54/76),100% (7/7),83% (5/6),92% (12/13),"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.43
30.07.2023,Bernard A.,0,,,,,,0,3,68%,40% (12/30),43% (6/14),55% (6/11),4% (1/23),33% (3/9),0% (0/0),41% (18/44),13% (4/32),29% (22/76),17% (1/6),0% (0/7),8% (1/13),[],[],[],[],[],2.71
25.07.2023,Andrade A.,2,,,,,,4,1,61%,71% (20/28),67% (12/18),80% (4/5),49% (18/37),62% (8/13),71% (5/7),70% (32/46),52% (26/50),60% (58/96),88% (7/8),63% (5/8),75% (12/16),"['2', '0', '4', '2', '6', '2']","['2', '0', '6', '2']",[],[],[],1.89
25.07.2023,Bernard A.,0,,,,,,0,1,74%,51% (19/37),38% (5/13),29% (2/7),29% (8/28),33% (6/18),20% (1/5),48% (24/50),30% (14/46),40% (38/96),38% (3/8),13% (1/8),25% (4/16),"['1', '2']",[],[],[],[],1.84
24.07.2023,Bernard A.,2,,,,,,2,1,63%,80% (32/40),63% (15/24),100% (4/4),34% (15/44),62% (13/21),38% (3/8),73% (47/64),43% (28/65),58% (75/129),100% (10/10),30% (3/10),65% (13/20),"['2', '1', '5', '2']","['6', '5']",[],[],[],2.22
24.07.2023,Ponwith N.,0,,,,,,1,5,68%,66% (29/44),38% (8/21),63% (5/8),20% (8/40),38% (9/24),0% (0/4),57% (37/65),27% (17/64),42% (54/129),70% (7/10),0% (0/10),35% (7/20),[],[],[],[],[],1.62
23.07.2023,Bernard A.,2,,,,,,4,0,67%,71% (29/41),45% (9/20),71% (5/7),46% (16/35),50% (12/24),50% (4/8),62% (38/61),47% (28/59),55% (66/120),80% (8/10),40% (4/10),60% (12/20),"['4', '4', '6', '4']","['4', '4', '6', '4']",[],[],[],1.96
23.07.2023,Soto M.,0,,,,,,2,2,59%,54% (19/35),50% (12/24),50% (4/8),29% (12/41),55% (11/20),29% (2/7),53% (31/59),38% (23/61),45% (54/120),60% (6/10),20% (2/10),40% (8/20),"['1', '0']","['1', '0']",[],[],[],1.78
21.07.2023,McHugh A.,2,,,,,,"['1', '0', '5', '4', '6', '5']","['1', '0', '3', '0', '6', '1']",[],[],[],1.35
21.07.2023,Bernard A.,0,,,,,,"['3', '3', '5', '5']",[],[],[],[],2.99
20.07.2023,Bernard A.,2,,,,,,"['4', '4', '6', '4']","['1', '1', '2', '2', '4', '2', '6', '2']",[],[],[],2.82
20.07.2023,Winter E.,0,,,,,,"['3', '2']","['1', '0', '2', '1']",[],[],[],1.39
19.07.2023,Bernard A.,2,,,,,,"['1', '0', '3', '2']","['1', '0', '3', '0', '5', '2', '6', '3']","['3', '3', '5', '5']",[],[],2.60
19.07.2023,Fenty A.,1,,,,,,"['2', '2', '4', '4', '6', '4']","['2', '4', '3', '5']","['3', '2', '4', '3']",[],[],1.45
11.07.2023,Chappell N.,2,,,,,,"['2', '0', '5', '1']",[],"['1', '0', '3', '0', '6', '3']",[],[],1.33
11.07.2023,Bernard A.,1,,,,,,[],"['6', '4']","['1', '3']",[],[],3.10
21.06.2023,Tracy J.,2,,,,,,"['2', '0']","['4', '3']",[],[],[],1.51
21.06.2023,Bernard A.,0,,,,,,[],"['5', '5']",[],[],[],2.43
20.11.2022,Vocel M.,1,,,,,,"['1', '0', '5', '2']",[],[],[],[],1.35
20.11.2022,Bernard A.,1,,,,,,[],"['2', '0', '4', '0']","['1', '0']",[],[],3.13
19.11.2022,Bernard A.,2,,,,,,[],[],"['5', '3']",[],[],3.24
19.11.2022,McNally J.,1,,,,,,[],[],[],[],[],1.33
18.11.2022,Bernard A.,2,,,,,,"['1', '0', '3', '2', '5', '2', '6', '3']","['1', '1', '3', '3']","['1', '0', '4', '3', '5', '4']",[],[],2.12
18.11.2022,Mayo A.,1,,,,,,"['2', '2', '3', '5']","['1', '0', '3', '2', '4', '3', '6', '3']","['1', '1', '4', '4']",[],[],1.70
17.11.2022,Bernard A.,2,,,,,,"['1', '0']","['2', '0', '5', '3']","['2', '1', '4', '3', '6', '3']",[],[],1.46
17.11.2022,Charlton J.,1,,,,,,"['1', '1', '4', '2']","['3', '4']","['3', '3']",[],[],2.60
16.11.2022,Bernard A.,2,,,,,,"['2', '3', '3', '4', '5', '4', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.77
16.11.2022,Hanzlik C.,0,,,,,,"['3', '1', '4', '2', '5', '5']",[],[],[],[],1.96
