Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,252/197,48/41,165/134,4/2,29/18,6/2
2024,14/5,-,14/5,-,-,-
2023,25/15,9/4,12/10,-,3/1,1/0
2022,26/19,2/3,17/12,-,4/3,3/1
2021,25/14,11/5,10/7,-,4/2,-
2020,18/12,2/4,14/7,-,-,2/1
2019,15/3,-,12/2,3/1,-,-
2017,10/18,3/5,6/11,-,1/2,-
2016,25/20,1/2,13/12,-,11/6,-
2015,26/22,10/7,16/15,-,-,-
2014,7/13,0/4,7/8,-,0/1,-
2013,30/18,9/5,17/10,1/1,3/2,-
2012,18/16,1/1,14/14,-,3/1,-
2011,12/13,-,12/13,-,-,-
2010,0/5,0/1,0/4,-,-,-
2009,1/2,-,1/2,-,-,-
2008,0/2,-,0/2,-,-,-
