Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,80/31,50/15,19/2,3/7,-,8/7
2024,33/5,22/3,10/0,0/1,-,1/1
2023,18/11,11/6,5/1,0/3,-,2/1
2022,15/7,13/3,-,2/1,-,0/3
2021,8/1,-,4/1,-,-,4/0
2019,1/3,-,-,0/1,-,1/2
2018,4/2,3/1,-,1/1,-,-
2017,0/1,0/1,-,-,-,-
2016,1/1,1/1,-,-,-,-
