Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES Wimbledon (United Kingdom),grass,header
30.06.,Rodesch C.,0,,,,,,6,5,69%,78% (56/72),47% (15/32),60% (3/5),16% (11/67),34% (10/29),0% (0/3),32,38,75% (18/24),68% (71/104),22% (21/96),46% (92/200),3,0,88% (14/16),0% (0/16),44% (14/32),2738,[],[],[],[],[],0
30.06.,Garin C.,3,,,,,,6,2,70%,84% (56/67),66% (19/29),100% (3/3),22% (16/72),53% (17/32),40% (2/5),13,16,63% (10/16),78% (75/96),32% (33/104),54% (108/200),7,0,100% (16/16),13% (2/16),56% (18/32),2553,[],[],[],[],[],0
ATP - SINGLES Wimbledon (United Kingdom) - Qualification,grass,header
26.06.,Rodesch C.,3,,,,,,7,2,74%,70% (63/90),55% (17/31),67% (6/9),23% (16/70),47% (21/45),67% (2/3),33,36,66% (25/38),66% (80/121),32% (37/115),50% (117/236),7,0,84% (16/19),11% (2/18),49% (18/37),3211,[],[],[],[],[],0
26.06.,Fucsovics M.,1,,,,,,6,8,61%,77% (54/70),53% (24/45),33% (1/3),30% (27/90),45% (14/31),33% (3/9),21,35,57% (8/14),68% (78/115),34% (41/121),50% (119/236),3,0,89% (16/18),16% (3/19),51% (19/37),3008,[],[],[],[],[],0
25.06.,Rodesch C.,2,,,,,,6,1,76%,88% (28/32),50% (5/10),0% (0/0),35% (11/31),67% (16/24),40% (4/10),19,7,43% (6/14),79% (33/42),49% (27/55),62% (60/97),6,0,100% (8/8),50% (4/8),75% (12/16),1081,[],[],[],[],[],0
25.06.,Lajal M.,0,,,,,,0,6,56%,65% (20/31),33% (8/24),60% (6/10),13% (4/32),50% (5/10),0% (0/0),4,10,43% (3/7),51% (28/55),21% (9/42),38% (37/97),4,0,50% (4/8),0% (0/8),25% (4/16),1054,[],[],[],[],[],0
23.06.,Rodesch C.,2,,,,,,7,1,70%,71% (30/42),61% (11/18),100% (6/6),39% (15/38),54% (14/26),43% (3/7),22,10,65% (15/23),68% (41/60),45% (29/64),56% (70/124),5,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],0
23.06.,Gigante M.,0,,,,,,1,8,59%,61% (23/38),46% (12/26),57% (4/7),29% (12/42),39% (7/18),0% (0/6),7,27,44% (4/9),55% (35/64),32% (19/60),44% (54/124),5,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Nottingham (United Kingdom) - Qualification,grass,header
15.06.,Rodesch C.,1,,,,,,9,3,70%,74% (46/62),41% (11/27),50% (3/6),27% (18/66),61% (17/28),38% (3/8),64% (57/89),37% (35/94),50% (92/183),2,0,80% (12/15),20% (3/15),50% (15/30),[],[],[],[],[],0
15.06.,McCabe J.,2,,,,,,7,0,70%,73% (48/66),39% (11/28),63% (5/8),26% (16/62),59% (16/27),50% (3/6),63% (59/94),36% (32/89),50% (91/183),8,0,80% (12/15),20% (3/15),50% (15/30),[],[],[],[],[],0
14.06.,Rodesch C.,2,,,,,,19,2,76%,73% (60/82),50% (13/26),67% (4/6),21% (12/58),45% (20/44),15% (2/13),68% (73/108),31% (32/102),50% (105/210),5,0,87% (13/15),13% (2/15),50% (15/30),[],[],[],[],[],0
14.06.,Kukushkin M.,1,,,,,,4,1,57%,79% (46/58),55% (24/44),85% (11/13),27% (22/82),50% (13/26),33% (2/6),69% (70/102),32% (35/108),50% (105/210),5,1,87% (13/15),13% (2/15),50% (15/30),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Ilkley (United Kingdom),grass,header
09.06.,Rodesch C.,0,,,,,,3,1,73%,67% (22/33),33% (4/12),25% (1/4),11% (3/27),33% (7/21),0% (0/1),58% (26/45),21% (10/48),39% (36/93),5,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],0
09.06.,Trotter J. K.,2,,,,,,6,4,56%,89% (24/27),67% (14/21),100% (1/1),33% (11/33),67% (8/12),75% (3/4),79% (38/48),42% (19/45),61% (57/93),5,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Vicenza (Italy),clay,header
31.05.,Rodesch C.,0,,,,,,2,5,70%,73% (36/49),33% (7/21),75% (9/12),24% (8/34),29% (5/17),0% (0/3),25,31,550% (11/2),61% (43/70),25% (13/51),46% (56/121),4,1,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],0
31.05.,Tseng C. H.,2,,,,,,2,2,67%,76% (26/34),71% (12/17),100% (3/3),27% (13/49),67% (14/21),25% (3/12),14,8,100% (3/3),75% (38/51),39% (27/70),54% (65/121),6,0,100% (9/9),30% (3/10),63% (12/19),[],[],[],[],[],0
30.05.,Rodesch C.,2,,,,,,3,1,65%,65% (22/34),72% (13/18),75% (3/4),44% (16/36),72% (13/18),50% (5/10),20,11,44% (4/9),67% (35/52),54% (29/54),60% (64/106),7,0,88% (7/8),63% (5/8),75% (12/16),[],[],[],[],[],0
30.05.,Mena F.,0,,,,,,2,1,67%,56% (20/36),28% (5/18),50% (5/10),35% (12/34),28% (5/18),25% (1/4),19,20,67% (6/9),46% (25/54),33% (17/52),40% (42/106),3,1,38% (3/8),13% (1/8),25% (4/16),[],[],[],[],[],0
