Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,543/383,211/136,132/98,174/116,14/20,12/13
2024,23/17,18/11,0/4,5/2,-,-
2023,28/19,23/12,0/1,5/5,-,0/1
2022,17/29,6/10,1/6,9/10,1/2,0/1
2021,37/27,17/12,9/7,11/7,-,0/1
2020,45/9,37/3,3/2,5/3,-,0/1
2019,16/27,1/3,10/9,2/10,2/3,1/2
2018,29/32,5/9,13/15,9/3,1/3,1/2
2017,35/26,2/5,15/8,17/9,0/3,1/1
2016,30/27,3/5,17/9,7/9,0/3,3/1
2015,50/27,4/6,19/7,20/11,5/2,2/1
2014,52/26,16/9,9/6,23/9,1/1,3/1
2013,31/24,6/4,8/9,13/8,4/3,-
2012,49/26,13/10,21/8,15/8,-,-
2011,47/22,19/11,0/1,28/10,-,-
2010,34/18,24/12,6/3,4/3,-,-
2009,16/14,14/7,1/2,1/5,-,-
2008,3/7,3/4,0/1,0/2,-,-
2007,1/4,0/2,-,0/1,-,1/1
2006,0/2,0/1,-,0/1,-,-
