Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,18/21,-,18/18,-,-,0/3
2024,9/5,-,9/5,-,-,-
2023,0/3,-,-,-,-,0/3
2021,9/13,-,9/13,-,-,-
