Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
04.08.,Ghibaudo A.,2,,,,,,2,3,68%,92% (36/39),61% (11/18),100% (1/1),33% (20/61),54% (13/24),14% (2/14),13,16,57% (4/7),82% (47/57),39% (33/85),56% (80/142),8,0,100% (11/11),18% (2/11),59% (13/22),"['4', '3']","['6', '5']",[],[],[],2.31
04.08.,Johnson S.,0,,,,,,6,3,72%,67% (41/61),46% (11/24),86% (12/14),8% (3/39),39% (7/18),0% (0/1),23,49,56% (10/18),61% (52/85),18% (10/57),44% (62/142),2,0,82% (9/11),0% (0/11),41% (9/22),[],[],[],[],[],1.57
03.08.,Johnson S.,2,,,,,,9,1,75%,81% (38/47),75% (12/16),100% (1/1),33% (14/42),29% (5/17),17% (1/6),22,30,92% (12/13),79% (50/63),32% (19/59),57% (69/122),6,0,100% (11/11),10% (1/10),57% (12/21),[],"['3', '1']",[],[],[],1.39
03.08.,Martin D.,0,,,,,,0,1,71%,67% (28/42),71% (12/17),83% (5/6),19% (9/47),25% (4/16),0% (0/1),11,30,100% (7/7),68% (40/59),21% (13/63),43% (53/122),4,0,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],2.85
21.07.,Wu Tung-Lin,2,,,,,,3,1,69%,77% (27/35),56% (9/16),100% (2/2),39% (13/33),79% (11/14),67% (4/6),8,15,88% (7/8),71% (36/51),51% (24/47),61% (60/98),9,0,100% (8/8),50% (4/8),75% (12/16),"['3', '2', '5', '2']","['2', '1', '5', '2']",[],[],[],1.81
21.07.,Johnson S.,0,,,,,,4,0,70%,61% (20/33),21% (3/14),33% (2/6),23% (8/35),44% (7/16),0% (0/2),11,36,29% (2/7),49% (23/47),29% (15/51),39% (38/98),1,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.92
20.07.,Johnson S.,2,,,,,,11,1,70%,72% (28/39),65% (11/17),0% (0/1),37% (13/35),63% (15/24),67% (4/6),23,26,73% (11/15),70% (39/56),47% (28/59),58% (67/115),7,0,90% (9/10),44% (4/9),68% (13/19),"['5', '5', '7', '5']","['2', '0', '5', '1']",[],[],[],1.93
20.07.,Chung H.,0,,,,,,1,4,59%,63% (22/35),38% (9/24),33% (2/6),28% (11/39),35% (6/17),100% (1/1),11,29,67% (2/3),53% (31/59),30% (17/56),42% (48/115),3,0,56% (5/9),10% (1/10),32% (6/19),"['4', '3']",[],[],[],[],1.80
12.07.,Sweeny D.,2,,,,,,"['2', '3']","['5', '3']","['1', '0', '6', '5']",[],[],1.82
12.07.,Johnson S.,1,,,,,,"['3', '1', '4', '2']",[],"['1', '1']",[],[],1.88
11.07.,Johnson S.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '3', '0', '5', '2']",[],[],[],1.47
11.07.,Danilov S.,0,,,,,,[],"['2', '4']",[],[],[],2.53
10.07.,Johnson S.,2,,,,,,"['4', '3']","['3', '2', '6', '3']",[],[],[],-
10.07.,Liu L.,0,,,,,,[],[],[],[],[],-
08.07.,Johnson S.,2,,,,,,"['4', '2']","['2', '1']",[],[],[],-
08.07.,Brumm J.,0,,,,,,[],[],[],[],[],-
29.06.,Svajda T.,2,,,,,,"['5', '4']","['2', '1']",[],[],[],1.28
29.06.,Johnson S.,0,,,,,,[],[],[],[],[],3.40
28.06.,Johnson S.,2,,,,,,"['2', '0', '6', '2']",[],"['3', '2', '5', '2']",[],[],2.89
28.06.,Johns G.,1,,,,,,[],[],[],[],[],1.37
27.06.,Johnson S.,2,,,,,,"['4', '2']",[],"['6', '5']",[],[],1.48
27.06.,Rajski M.,1,,,,,,[],"['6', '4']",[],[],[],2.50
26.06.,Johnson S.,2,,,,,,[],"['3', '4']",[],[],[],2.00
26.06.,Makk P.,0,,,,,,[],"['4', '2']",[],[],[],1.72
25.06.,Johnson S.,2,,,,,,"['7', '5']","['3', '1', '6', '2']",[],[],[],1.59
25.06.,Kirchheimer S.,0,,,,,,[],[],[],[],[],2.24
19.06.,Anderson O.,2,,,,,,"['3', '5']","['2', '0']","['3', '2', '4', '5', '6', '5']",[],[],2.53
19.06.,Johnson S.,1,,,,,,"['3', '2', '5', '2']",[],"['3', '3', '5', '3']",[],[],1.47
18.06.,Johnson S.,2,,,,,,"['4', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.45
18.06.,Schachter N.,0,,,,,,[],[],[],[],[],2.59
28.05.,Ilagan A.,2,,,,,,"['4', '5']",[],"['5', '3']",[],[],1.29
28.05.,Johnson S.,1,,,,,,"['5', '3', '6', '4']",[],[],[],[],3.32
09.09.2024,Rybakov A.,2,,,,,,4,7,67%,68% (38/56),54% (15/28),50% (3/6),33% (18/54),61% (17/28),31% (4/13),63% (53/84),43% (35/82),53% (88/166),6,0,77% (10/13),33% (4/12),56% (14/25),[],"['3', '1', '5', '1']","['1', '2', '3', '2']",[],[],1.42
09.09.2024,Johnson S.,1,,,,,,2,9,66%,67% (36/54),39% (11/28),69% (9/13),32% (18/56),46% (13/28),50% (3/6),57% (47/82),37% (31/84),47% (78/166),4,3,67% (8/12),23% (3/13),44% (11/25),"['1', '0', '3', '0']",[],"['2', '0']",[],[],2.76
08.09.2024,Johnson S.,2,,,,,,14,1,69%,81% (57/70),52% (16/31),88% (7/8),25% (14/55),41% (19/46),17% (1/6),72% (73/101),33% (33/101),52% (106/202),7,0,94% (15/16),7% (1/15),52% (16/31),[],"['2', '0']",[],[],[],1.82
