Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,117/128,31/51,79/68,4/4,-,3/5
2024,19/22,5/6,14/13,0/1,-,0/2
2023,38/33,6/8,30/24,0/1,-,2/0
2022,44/26,9/6,30/18,4/2,-,1/0
2021,8/13,3/5,5/8,-,-,-
2020,1/4,1/3,-,-,-,0/1
2019,3/14,3/11,0/3,-,-,-
2018,1/9,1/5,0/2,-,-,0/2
2017,2/5,2/5,-,-,-,-
2016,1/2,1/2,-,-,-,-
