https://www.tennisexplorer.com/res/img/player/GMYsKydA-dMmhIVg2.jpeg
Tkemaladze Zura
Country: Georgia
Height / Weight: 185 cm / 73 kg
Age: 24 (4. 6. 2000)
Current/Highest rank - singles: 730. / 633.
Current/Highest rank - doubles: 597. / 540.
Sex: man
Plays: right
