Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,189/206,49/62,116/134,-,-,24/10
2024,4/13,-,3/11,-,-,1/2
2023,24/19,0/2,19/17,-,-,5/0
2022,14/20,-,11/19,-,-,3/1
2021,21/27,-,21/27,-,-,-
2020,9/14,-,8/11,-,-,1/3
2019,12/22,7/8,3/11,-,-,2/3
2018,23/19,8/13,10/6,-,-,5/0
2017,25/27,19/23,3/3,-,-,3/1
2016,15/8,11/8,-,-,-,4/0
2015,40/27,4/5,36/22,-,-,-
2014,2/6,0/1,2/5,-,-,-
2013,0/4,0/2,0/2,-,-,-
