Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.06.,Palosi S.,2,,,,,,"['1', '0']","['4', '2', '6', '2']","['2', '2', '4', '2', '5', '3']",[],[],1.29
13.06.,Majdandzic M.,1,,,,,,"['1', '1', '5', '3']",[],"['1', '0', '3', '4']",[],[],3.32
12.06.,Majdandzic M.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0']",[],[],[],-
12.06.,Marinescu M. R.,0,,,,,,[],"['2', '4']",[],[],[],-
11.06.,Majdandzic M.,2,,,,,,"['1', '0', '3', '0']",[],"['2', '0', '5', '3']",[],[],1.30
11.06.,Konov S.,1,,,,,,[],"['4', '2']","['1', '2']",[],[],3.14
03.06.,Otegui J. B.,2,,,,,,"['1', '0']","['2', '0', '3', '1']",[],[],[],1.41
03.06.,Majdandzic M.,0,,,,,,"['1', '1']","['1', '2']",[],[],[],2.73
19.03.,Sorger S.,2,,,,,,"['2', '1']","['1', '0', '6', '3']","['1', '1', '2', '2', '5', '3']",[],[],1.19
19.03.,Majdandzic M.,1,,,,,,"['4', '4', '7', '5']",[],"['1', '0', '2', '1']",[],[],4.28
13.02.,Fajta P.,2,,,,,,"['4', '5']",[],"['2', '0']",[],[],1.26
13.02.,Majdandzic M.,1,,,,,,"['3', '1']","['1', '0']",[],[],[],3.54
12.02.,Majdandzic M.,2,,,,,,[],[],"['5', '4']",[],[],1.47
12.02.,McDonald N.,1,,,,,,"['2', '1']",[],[],[],[],2.53
07.01.,Schell N.,2,,,,,,"['1', '0']",[],"['1', '0', '5', '4']",[],[],1.41
07.01.,Majdandzic M.,1,,,,,,[],"['6', '4']","['4', '4']",[],[],2.73
13.11.2024,Musitelli F.,2,,,,,,"['4', '3']","['2', '1', '4', '1']","['2', '5', '4', '5']",[],[],1.31
13.11.2024,Majdandzic M.,1,,,,,,"['4', '4', '6', '4']","['3', '5']","['3', '1', '5', '1']",[],[],3.20
17.10.2024,Pieczonka F.,2,,,,,,"['3', '2']","['2', '0']",[],[],[],1.34
17.10.2024,Majdandzic M.,0,,,,,,"['5', '5']",[],[],[],[],3.03
15.10.2024,Majdandzic M.,2,,,,,,"['3', '3']","['3', '4', '5', '4']","['1', '0']",[],[],6.34
15.10.2024,Sigsgaard C.,1,,,,,,"['1', '0']","['3', '1']",[],[],[],1.09
03.09.2024,Beckley A.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['4', '5']","['1', '0', '6', '5']",[],[],1.17
03.09.2024,Majdandzic M.,1,,,,,,[],"['2', '0', '6', '4']","['1', '1']",[],[],4.71
29.08.2024,Filip J.,2,,,,,,"['1', '0', '5', '2']","['1', '2', '4', '3']",[],[],[],1.30
29.08.2024,Majdandzic M.,0,,,,,,[],"['2', '0', '4', '4']",[],[],[],3.34
27.08.2024,Majdandzic M.,2,,,,,,"['5', '5']","['5', '3']","['2', '1']",[],[],4.46
