Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,343/196,147/103,71/37,109/50,0/1,16/5
2024,23/8,15/5,-,-,-,8/3
2023,15/4,7/2,-,-,-,8/2
2021,15/8,11/5,4/3,-,-,-
2020,22/13,7/6,8/3,7/4,-,-
2019,36/16,13/7,5/2,18/7,-,-
2018,21/25,7/12,9/6,5/7,-,-
2017,42/30,9/12,5/2,28/15,0/1,-
2016,77/24,38/13,7/5,32/6,-,-
2015,45/23,14/11,17/6,14/6,-,-
2014,27/16,11/7,12/6,4/3,-,-
2013,4/5,1/3,3/2,-,-,-
2012,0/1,-,0/1,-,-,-
2011,2/3,1/2,1/1,-,-,-
2010,7/4,7/4,-,-,-,-
2008,6/8,5/7,-,1/1,-,-
2007,0/6,0/6,-,-,-,-
2006,1/1,1/1,-,-,-,-
2004,0/1,-,-,0/1,-,-
