Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,74/52,74/52,-,-,-,-
2024,18/13,18/13,-,-,-,-
2023,28/16,28/16,-,-,-,-
2022,21/19,21/19,-,-,-,-
2021,7/4,7/4,-,-,-,-
