Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,106/115,2/5,63/53,31/49,3/8,7/0
2024,6/7,-,6/7,-,-,-
2023,19/21,-,7/13,5/6,0/2,7/0
2022,35/33,-,24/14,9/15,2/4,-
2021,25/31,0/3,10/6,15/22,-,-
2020,17/16,2/2,15/12,0/2,-,-
2018,4/7,-,1/1,2/4,1/2,-
