Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,79/86,72/73,5/8,2/5,-,-
2024,8/15,8/15,-,-,-,-
2023,28/24,28/22,0/2,-,-,-
2022,24/23,22/18,2/4,0/1,-,-
2021,11/9,9/6,2/1,0/2,-,-
2020,2/1,-,-,2/1,-,-
2019,4/8,3/6,1/1,0/1,-,-
2018,2/4,2/4,-,-,-,-
2017,0/2,0/2,-,-,-,-
