Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
05.02.,Manzanera Pertusa A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['4', '2', '6', '2']",[],[],[],-
05.02.,Gola A.,0,,,,,,[],[],[],[],[],-
15.10.2024,Martin Tiffon P.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['3', '2', '5', '2', '6', '3']",[],[],[],1.06
15.10.2024,Gola A.,0,,,,,,[],"['3', '5']",[],[],[],7.60
18.07.2024,Bilardo J.,2,,,,,,[],"['6', '3']",[],[],[],1.60
18.07.2024,Gola A.,0,,,,,,[],[],[],[],[],2.24
16.07.2024,Gola A.,2,,,,,,[],"['6', '1']",[],[],[],1.05
16.07.2024,Prod'homme B.,0,,,,,,[],[],[],[],[],8.55
05.06.2024,Bacaloni A.,2,,,,,,"['3', '1', '4', '2']","['2', '1']",[],[],[],1.83
05.06.2024,Gola A.,0,,,,,,"['2', '3']",[],[],[],[],1.83
03.04.2024,Oliel Y.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['4', '2', '5', '3']","['1', '0', '3', '0']",[],[],1.06
03.04.2024,Gola A.,1,,,,,,[],"['3', '4', '4', '5']",[],[],[],7.60
02.04.2024,Gola A.,1,,,,,,"['2', '3', '4', '3', '6', '5']",[],[],[],[],1.68
02.04.2024,Calvano G.,0,,,,,,"['2', '0', '5', '5']",[],[],[],[],2.01
28.11.2023,Martin Tiffon P.,2,,,,,,"['6', '4']","['5', '3']",[],[],[],1.19
28.11.2023,Gola A.,0,,,,,,[],[],[],[],[],4.32
25.10.2023,Carraro L.,2,,,,,,"['2', '0', '3', '1', '5', '1', '6', '2']","['2', '0', '3', '1', '5', '1']",[],[],[],1.54
25.10.2023,Gola A.,0,,,,,,"['1', '2', '2', '5']","['1', '2', '2', '5']",[],[],[],2.25
24.10.2023,Gola A.,2,,,,,,"['4', '3']",[],"['2', '0', '4', '0', '6', '0']",[],[],3.10
24.10.2023,Potenza L.,1,,,,,,[],"['5', '3']",[],[],[],1.33
17.10.2023,Fonio G.,2,,,,,,"['5', '5']","['1', '0', '3', '0']",[],[],[],1.07
17.10.2023,Gola A.,0,,,,,,"['2', '1']",[],[],[],[],6.97
12.09.2023,Rottoli L.,2,,,,,,"['1', '0', '2', '1', '3', '2']","['4', '4']","['1', '0', '6', '5']",[],[],1.12
12.09.2023,Gola A.,1,,,,,,"['1', '1', '2', '2', '5', '5']","['4', '3']","['5', '5']",[],[],5.47
30.08.2023,Privara P. B.,2,,,,,,[],[],[],[],[],1.69
30.08.2023,Gola A.,0,,,,,,[],[],[],[],[],2.05
15.05.2023,Gaio F.,2,,,,,,3,2,54%,92% (23/25),67% (14/21),100% (1/1),33% (9/27),53% (10/19),60% (3/5),80% (37/46),41% (19/46),61% (56/92),100% (9/9),38% (3/8),71% (12/17),"['4', '2', '6', '2']","['4', '2']",[],[],[],1.06
15.05.2023,Gola A.,0,,,,,,1,1,59%,67% (18/27),47% (9/19),40% (2/5),8% (2/25),33% (7/21),0% (0/1),59% (27/46),20% (9/46),39% (36/92),63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],8.30
14.05.2023,Gola A.,2,,,,,,3,2,55%,62% (21/34),57% (16/28),40% (2/5),40% (16/40),65% (13/20),45% (5/11),60% (37/62),48% (29/60),54% (66/122),70% (7/10),50% (5/10),60% (12/20),"['2', '1', '5', '4']","['2', '1', '3', '2', '5', '4']",[],[],[],3.72
14.05.2023,Pichler D.,0,,,,,,1,2,67%,60% (24/40),35% (7/20),55% (6/11),38% (13/34),43% (12/28),60% (3/5),52% (31/60),40% (25/62),46% (56/122),50% (5/10),30% (3/10),40% (8/20),"['4', '4']","['2', '2', '3', '3']",[],[],[],1.25
18.04.2023,Tabacco F.,2,,,,,,"['2', '0', '3', '1', '5', '3']","['1', '0', '2', '3']","['2', '0', '4', '0']",[],[],1.08
18.04.2023,Gola A.,1,,,,,,"['1', '2', '3', '4']","['1', '1', '3', '1', '5', '3']",[],[],[],6.85
15.12.2022,Molleker R.,2,,,,,,[],[],[],[],[],1.05
15.12.2022,Gola A.,0,,,,,,[],[],[],[],[],8.60
