Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,579/376,163/142,372/195,35/27,5/10,4/2
2024,38/23,18/13,14/5,4/3,2/2,-
2023,30/27,10/9,15/10,3/5,0/3,2/0
2022,26/31,11/12,11/14,2/1,0/3,2/1
2021,53/17,22/7,23/6,5/2,3/2,-
2020,15/15,2/5,11/5,2/4,-,0/1
2019,46/21,16/9,20/8,10/4,-,-
2018,35/25,12/7,23/17,0/1,-,-
2017,50/15,10/4,36/10,4/1,-,-
2016,13/3,3/3,10/0,-,-,-
2015,22/11,0/1,22/10,-,-,-
2014,42/25,3/6,39/18,0/1,-,-
2013,51/21,0/1,51/19,0/1,-,-
2012,32/25,3/9,29/16,-,-,-
2011,39/28,12/9,23/17,4/2,-,-
2010,8/14,3/5,4/8,1/1,-,-
2009,30/28,14/18,16/10,-,-,-
2008,21/17,8/7,13/9,0/1,-,-
2007,19/18,13/12,6/6,-,-,-
2006,9/11,3/4,6/7,-,-,-
2005,0/1,0/1,-,-,-,-
