Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
06.08.2024,Hudd E.,2,,,,,,"['2', '1']","['2', '3', '5', '4']",[],[],[],1.39
06.08.2024,Goodger J.,0,,,,,,[],"['2', '0']",[],[],[],2.83
30.11.2023,Azoidis D.,2,,,,,,[],[],[],[],[],2.78
30.11.2023,Goodger J.,0,,,,,,[],[],[],[],[],1.40
28.11.2023,Goodger J.,2,,,,,,[],[],[],[],[],1.71
28.11.2023,Ivanov S. A.,0,,,,,,[],[],[],[],[],2.02
22.11.2023,Chrysochos P.,2,,,,,,[],[],[],[],[],1.59
22.11.2023,Goodger J.,0,,,,,,[],[],[],[],[],2.25
02.11.2023,Deckers A.,2,,,,,,[],"['2', '0', '6', '2']",[],[],[],1.37
02.11.2023,Goodger J.,0,,,,,,[],[],[],[],[],2.89
01.11.2023,Goodger J.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '5', '1']",[],[],[],1.37
01.11.2023,Zhu M.,0,,,,,,[],[],[],[],[],2.91
24.10.2023,Blockx A.,2,,,,,,[],"['4', '2']","['1', '0', '3', '0', '5', '0']",[],[],1.16
24.10.2023,Goodger J.,1,,,,,,[],[],[],[],[],4.67
17.10.2023,Lumsden E.,2,,,,,,"['3', '2']","['1', '0', '5', '2']",[],[],[],2.10
17.10.2023,Goodger J.,0,,,,,,[],[],[],[],[],1.67
15.08.2023,Matusevich A.,2,,,,,,[],"['1', '0', '5', '2']","['4', '3']",[],[],1.37
15.08.2023,Goodger J.,1,,,,,,"['7', '5']",[],[],[],[],2.91
09.08.2023,Tarvet O.,2,,,,,,"['3', '4', '6', '5']","['3', '4', '5', '4']",[],[],[],1.56
09.08.2023,Goodger J.,0,,,,,,"['4', '2']","['2', '0']",[],[],[],2.31
03.08.2023,Simkiss L.,2,,,,,,"['4', '5']","['2', '1']","['1', '0', '4', '3', '6', '3']",[],[],2.08
03.08.2023,Goodger J.,1,,,,,,"['5', '3', '7', '5']",[],"['1', '1']",[],[],1.69
02.08.2023,Goodger J.,2,,,,,,"['4', '2']",[],[],[],[],3.83
02.08.2023,Monday J.,0,,,,,,[],[],[],[],[],1.23
01.08.2023,Goodger J.,2,,,,,,"['3', '1']",[],[],[],[],2.13
01.08.2023,Hohmann R.,0,,,,,,[],[],[],[],[],1.65
19.07.2023,Whitehouse M.,2,,,,,,"['1', '0', '6', '5']",[],"['2', '0']",[],[],1.32
19.07.2023,Goodger J.,1,,,,,,"['1', '1']","['5', '3']",[],[],[],2.97
18.07.2023,Goodger J.,2,,,,,,"['3', '1']",[],"['4', '2']",[],[],1.98
18.07.2023,Bass F.,1,,,,,,[],"['3', '1']",[],[],[],1.74
27.06.2023,Wood W.,2,,,,,,"['4', '3']","['2', '2', '4', '2', '6', '2']","['3', '1', '6', '4']",[],[],2.09
27.06.2023,Goodger J.,1,,,,,,"['5', '5']","['1', '0']","['2', '3']",[],[],1.69
20.06.2023,Hanzlik C.,2,,,,,,"['3', '4', '5', '4']","['1', '2', '2', '3', '4', '3']",[],[],[],2.09
20.06.2023,Goodger J.,0,,,,,,"['4', '2']","['2', '0', '3', '1']",[],[],[],1.68
14.06.2023,Wood W.,2,,,,,,[],"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '2']",[],[],3.23
14.06.2023,Goodger J.,1,,,,,,"['5', '3']",[],"['2', '3']",[],[],1.34
07.06.2023,Rogers A.,2,,,,,,"['4', '5', '6', '5']","['1', '0']",[],[],[],2.08
07.06.2023,Goodger J.,0,,,,,,"['4', '2']",[],[],[],[],1.69
05.05.2023,Takahashi Y.,2,,,,,,[],[],"['2', '1', '5', '2']",[],[],1.69
05.05.2023,Goodger J.,1,,,,,,[],[],[],[],[],2.08
04.05.2023,Goodger J.,2,,,,,,"['5', '5']",[],"['2', '1']",[],[],2.82
04.05.2023,Perez A.,1,,,,,,"['4', '3']","['3', '1', '6', '2']",[],[],[],1.39
02.05.2023,Goodger J.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '6', '3']",[],[],[],1.30
02.05.2023,Habib A.,0,,,,,,[],[],[],[],[],3.46
25.04.2023,Poullain L.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0']",[],[],[],1.24
25.04.2023,Goodger J.,0,,,,,,[],[],[],[],[],3.72
20.04.2023,Hurrion M.,2,,,,,,"['1', '1', '4', '2', '6', '2']","['5', '5', '6', '6']",[],[],[],1.53
20.04.2023,Goodger J.,0,,,,,,"['1', '0']","['5', '4', '6', '5']",[],[],[],2.38
18.04.2023,Goodger J.,2,,,,,,"['2', '0', '3', '1']","['1', '2', '3', '2', '6', '3']",[],[],[],1.23
18.04.2023,Weir P.,0,,,,,,"['1', '2']","['2', '0']",[],[],[],3.80
07.02.2023,Marie J.,2,,,,,,"['5', '4']",[],"['3', '1', '6', '2']",[],[],1.18
07.02.2023,Goodger J.,1,,,,,,[],"['4', '2']",[],[],[],4.46
16.11.2022,Saye D.,2,,,,,,"['2', '1', '6', '3']","['3', '3']","['2', '0', '6', '2']",[],[],8.90
16.11.2022,Goodger J.,1,,,,,,[],"['1', '0', '6', '5']",[],[],[],1.05
08.10.2022,Goodger J.,2,,,,,,[],"['6', '4']","['2', '0', '5', '1']",[],[],2.14
08.10.2022,Ross G.,1,,,,,,"['4', '3']",[],[],[],[],1.69
07.10.2022,Goodger J.,2,,,,,,"['6', '4']","['4', '2']",[],[],[],3.38
07.10.2022,Trotter J. K.,0,,,,,,[],[],[],[],[],1.31
06.10.2022,Goodger J.,2,,,,,,"['3', '2']","['2', '1', '6', '3']",[],[],[],1.98
06.10.2022,Mbithi M.,0,,,,,,[],[],[],[],[],1.75
