Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,135/146,14/14,116/126,-,5/6,-
2024,22/24,1/3,19/19,-,2/2,-
2023,27/26,6/3,19/22,-,2/1,-
2022,15/14,-,15/14,-,-,-
2020,6/17,-,6/15,-,0/2,-
2019,23/23,2/2,21/21,-,-,-
2018,15/13,3/2,12/11,-,-,-
2017,12/18,1/2,10/15,-,1/1,-
2016,14/9,1/2,13/7,-,-,-
2015,1/1,-,1/1,-,-,-
2014,0/1,-,0/1,-,-,-
