Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,178/116,24/27,76/56,78/33,-,-
2024,25/21,3/5,12/10,10/6,-,-
2023,49/31,9/6,24/14,16/11,-,-
2022,49/21,9/5,18/11,22/5,-,-
2021,36/20,3/6,6/8,27/6,-,-
2020,9/11,-,8/9,1/2,-,-
2019,10/9,0/2,8/4,2/3,-,-
2018,0/3,0/3,-,-,-,-
