Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,395/294,348/237,39/51,1/1,0/2,7/3
2024,38/22,34/17,4/4,-,-,0/1
2023,25/23,25/19,0/3,-,0/1,-
2022,36/31,23/19,11/11,-,0/1,2/0
2021,49/32,38/22,11/10,-,-,-
2020,28/14,18/3,9/10,-,-,1/1
2019,35/33,30/29,0/2,1/1,-,4/1
2018,43/29,43/29,-,-,-,-
2017,46/28,46/28,-,-,-,-
2016,49/29,48/26,1/3,-,-,-
2015,19/22,16/16,3/6,-,-,-
2014,17/18,17/17,0/1,-,-,-
2013,7/8,7/7,0/1,-,-,-
2012,1/3,1/3,-,-,-,-
2011,1/1,1/1,-,-,-,-
2010,1/1,1/1,-,-,-,-
