Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,59/83,30/46,15/21,6/9,-,8/7
2024,7/10,5/5,0/2,-,-,2/3
2023,9/3,-,5/2,-,-,4/1
2022,9/12,3/7,6/5,-,-,-
2021,9/16,3/5,3/6,1/2,-,2/3
2020,8/14,6/10,1/2,1/2,-,-
2019,12/18,8/11,0/3,4/4,-,-
2018,5/10,5/8,0/1,0/1,-,-
