Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,500/436,322/299,165/124,11/9,0/1,2/3
2024,18/25,16/22,2/3,-,-,-
2023,38/30,31/25,7/5,-,-,-
2022,30/30,28/26,0/1,-,-,2/3
2021,23/23,17/15,6/8,-,-,-
2020,11/9,11/9,-,-,-,-
2019,34/31,32/28,2/3,-,-,-
2018,46/32,33/20,11/10,2/2,-,-
2017,31/33,28/30,3/3,-,-,-
2016,33/30,21/16,12/13,-,0/1,-
2015,54/33,16/12,38/21,-,-,-
2014,40/28,16/12,24/16,-,-,-
2013,47/33,12/11,34/20,1/2,-,-
2012,25/37,13/25,11/11,1/1,-,-
2011,34/33,29/27,2/4,3/2,-,-
2010,27/20,11/13,13/6,3/1,-,-
2009,9/7,8/6,-,1/1,-,-
2008,0/2,0/2,-,-,-,-
