Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/19,8/8,13/11,-,-,-
2024,21/15,8/6,13/9,-,-,-
2023,0/3,0/1,0/2,-,-,-
2022,0/1,0/1,-,-,-,-
