Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,594/358,84/69,358/189,83/60,63/39,6/1
2023,3/3,-,1/2,-,2/1,-
2022,3/8,-,2/7,1/1,-,-
2021,20/18,2/2,8/10,2/2,8/4,-
2020,10/10,2/3,4/4,4/3,-,-
2019,14/6,-,10/4,-,4/2,-
2018,52/22,6/4,25/10,14/5,7/3,-
2017,34/21,12/6,17/9,1/4,4/2,-
2016,19/23,2/4,11/14,2/2,4/3,-
2015,46/25,6/5,26/13,7/4,7/3,-
2014,42/26,5/5,27/15,3/3,7/3,-
2013,39/24,11/5,25/14,1/3,2/2,-
2012,32/27,7/7,13/12,9/6,3/2,-
2011,42/27,5/6,23/13,7/5,4/3,3/0
2010,52/26,7/5,40/14,3/3,2/4,-
2009,36/30,12/10,11/11,9/6,4/3,-
2008,50/28,4/5,28/12,10/6,5/4,3/1
2007,38/12,-,36/8,2/4,-,-
2006,32/13,2/1,25/10,5/2,-,-
2005,18/7,1/1,14/5,3/1,-,-
2004,12/2,-,12/2,-,-,-
