Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,308/212,179/98,58/51,60/52,11/11,-
2024,26/19,22/15,3/3,-,1/1,-
2023,19/25,3/6,5/10,7/4,4/5,-
2022,40/21,20/8,13/6,7/7,-,-
2021,18/16,5/8,8/4,3/1,2/3,-
2020,20/19,5/6,14/11,1/2,-,-
2019,40/27,17/9,7/7,12/10,4/1,-
2018,32/34,21/16,7/6,4/11,0/1,-
2017,52/20,35/11,1/2,16/7,-,-
2016,33/16,24/7,0/1,9/8,-,-
2015,15/11,15/9,0/1,0/1,-,-
2014,13/4,12/3,-,1/1,-,-
