Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,551/375,356/240,185/117,3/13,0/3,7/2
2024,9/7,6/5,-,1/1,-,2/1
2023,23/29,11/10,12/12,0/7,-,-
2022,52/40,20/18,32/20,0/1,0/1,-
2021,61/31,34/19,21/9,1/2,-,5/1
2020,57/28,17/7,40/21,-,-,-
2019,27/28,10/14,17/14,-,-,-
2018,27/28,20/20,6/6,1/2,-,-
2017,42/30,37/28,5/1,-,0/1,-
2016,27/18,22/13,5/4,-,0/1,-
2015,33/16,33/16,-,-,-,-
2014,42/24,31/16,11/8,-,-,-
2013,14/9,12/8,2/1,-,-,-
2012,40/24,28/17,12/7,-,-,-
2011,49/25,43/19,6/6,-,-,-
2010,33/21,17/15,16/6,-,-,-
2009,14/13,14/11,0/2,-,-,-
2008,1/2,1/2,-,-,-,-
2007,0/2,0/2,-,-,-,-
