Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,74/71,70/57,1/5,-,-,3/9
2024,9/19,9/16,-,-,-,0/3
2023,18/23,17/18,1/3,-,-,0/2
2022,31/16,28/13,0/2,-,-,3/1
2021,5/4,5/4,-,-,-,-
2020,0/3,-,-,-,-,0/3
2019,11/6,11/6,-,-,-,-
