Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.06.,Ivanovski K.,2,,,,,,"['1', '0', '5', '4']","['3', '2', '5', '4']","['3', '1', '6', '2']",[],[],1.13
27.06.,Tonejc V.,1,,,,,,"['1', '1']","['3', '3', '5', '5']",[],[],[],5.10
26.06.,Tonejc V.,2,,,,,,"['6', '4']","['3', '1', '6', '2']",[],[],[],1.70
26.06.,Radjenovic V.,0,,,,,,[],[],[],[],[],2.03
25.06.,Tonejc V.,2,,,,,,"['2', '0', '6', '2']","['3', '3', '5', '3']",[],[],[],1.43
25.06.,Voljavec A.,0,,,,,,[],"['3', '2']",[],[],[],2.66
04.06.,Fellin P. O.,2,,,,,,[],"['2', '0']","['1', '0', '5', '2']",[],[],1.40
04.06.,Tonejc V.,1,,,,,,"['2', '0', '5', '1']","['1', '2']",[],[],[],2.77
11.05.,Gombos N.,2,,,,,,6,4,65%,77% (46/60),45% (15/33),67% (6/9),39% (21/54),54% (15/28),63% (5/8),28,44,73% (8/11),66% (61/93),44% (36/82),55% (97/175),5,0,80% (12/15),36% (5/14),59% (17/29),"['2', '2', '4', '2', '6', '2']","['5', '3']","['4', '2']",[],[],1.04
11.05.,Tonejc V.,1,,,,,,3,0,66%,61% (33/54),46% (13/28),38% (3/8),23% (14/60),55% (18/33),33% (3/9),16,34,60% (3/5),56% (46/82),34% (32/93),45% (78/175),5,0,64% (9/14),20% (3/15),41% (12/29),"['1', '0']","['4', '5', '6', '5']",[],[],[],8.80
28.03.,Bax F.,2,,,,,,"['1', '1', '3', '1', '5', '1']","['2', '1', '5', '2']",[],[],[],1.34
28.03.,Tonejc V.,0,,,,,,"['1', '0']",[],[],[],[],3.04
