Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,98/59,42/19,42/34,6/5,7/0,1/1
2024,37/18,25/10,10/7,2/1,-,-
2023,16/19,2/4,12/13,1/1,-,1/1
2022,33/11,10/3,16/8,-,7/0,-
2020,0/1,-,-,0/1,-,-
2019,8/8,5/2,3/5,0/1,-,-
2018,4/2,-,1/1,3/1,-,-
