Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,46/27,-,46/27,-,-,-
2024,19/8,-,19/8,-,-,-
2023,17/8,-,17/8,-,-,-
2022,8/9,-,8/9,-,-,-
2021,2/2,-,2/2,-,-,-
