Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,42/43,42/43,-,-,-,-
2024,25/19,25/19,-,-,-,-
2023,15/17,15/17,-,-,-,-
2022,1/6,1/6,-,-,-,-
2021,1/1,1/1,-,-,-,-
