Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
23.01.,Hallquist Lithen J.,0,,,,,,"['4', '4', '5', '5']","['1', '3']",[],[],[],2.01
17.01.,Vasa E.,2,,,,,,"['3', '5', '5', '5']","['2', '0', '6', '6']","['3', '2', '6', '3']",[],[],1.74
17.01.,Maksimovic M.,1,,,,,,"['3', '2', '5', '2', '6', '5']","['4', '5', '6', '5']",[],[],[],1.97
16.01.,Maksimovic M.,2,,,,,,"['3', '5', '5', '5', '7', '5']","['1', '1', '4', '2']","['2', '0', '6', '2']",[],[],2.67
16.01.,Bielinskyi V.,1,,,,,,"['1', '0', '5', '2']","['1', '0', '4', '5', '6', '5']",[],[],[],1.39
16.01.,Maksimovic M.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['3', '1', '4', '2']",[],[],[],1.37
16.01.,Alvarez Sarmiento M. L.,0,,,,,,[],"['2', '3']",[],[],[],2.89
09.01.,Figl M.,2,,,,,,"['3', '1', '4', '2']","['2', '1', '4', '1', '5', '2', '6', '3']",[],[],[],5.15
09.01.,Maksimovic M.,0,,,,,,"['2', '3']","['2', '4', '3', '5']",[],[],[],1.13
07.01.,Maksimovic M.,2,,,,,,"['1', '0']","['1', '0']",[],[],[],3.81
07.01.,Pennaforti G.,0,,,,,,[],"['4', '4']",[],[],[],1.23
20.11.2024,Milev Y.,2,,,,,,"['1', '2', '4', '3', '6', '3']","['3', '3']",[],[],[],1.35
20.11.2024,Maksimovic M.,0,,,,,,"['2', '0']","['2', '1']",[],[],[],2.99
14.11.2024,Handel T.,2,,,,,,"['3', '3', '6', '4']","['2', '0', '4', '0']",[],[],[],1.45
14.11.2024,Maksimovic M.,0,,,,,,"['1', '0']",[],[],[],[],2.59
13.11.2024,Maksimovic M.,2,,,,,,[],"['2', '0', '3', '1', '6', '2']","['2', '0', '5', '1']",[],[],1.54
13.11.2024,Ivanov I.,1,,,,,,"['4', '3']","['1', '2']",[],[],[],2.35
