Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,20/16,16/15,-,-,-,4/1
2024,6/4,2/3,-,-,-,4/1
2023,13/9,13/9,-,-,-,-
2022,0/1,0/1,-,-,-,-
2021,1/2,1/2,-,-,-,-
