Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,427/366,48/50,327/248,9/20,25/28,18/20
2024,28/30,1/2,24/22,-,2/2,1/4
2023,40/33,3/3,28/22,3/3,4/3,2/2
2022,37/27,5/3,29/20,0/2,-,3/2
2021,11/20,1/1,8/11,1/5,1/3,-
2020,21/18,4/5,15/8,-,-,2/5
2019,40/31,2/4,32/20,0/1,4/5,2/1
2018,42/27,1/2,35/19,1/2,1/4,4/0
2017,26/27,7/5,15/15,1/1,3/3,0/3
2016,33/26,8/7,21/17,1/1,-,3/1
2015,19/27,1/5,18/20,0/2,-,-
2014,33/31,4/5,25/21,0/1,3/2,1/2
2013,47/19,7/1,33/13,2/2,5/3,-
2012,27/21,2/2,25/18,-,0/1,-
2011,12/17,2/5,8/10,-,2/2,-
2010,4/7,-,4/7,-,-,-
2009,7/5,-,7/5,-,-,-
