Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,483/355,433/315,39/37,2/2,-,9/1
2024,30/22,24/21,6/1,-,-,-
2023,42/24,35/22,4/2,-,-,3/0
2022,11/6,5/5,-,-,-,6/1
2021,23/25,21/22,2/3,-,-,-
2020,18/14,14/10,2/2,2/2,-,-
2019,43/29,42/28,1/1,-,-,-
2018,30/25,30/25,-,-,-,-
2017,54/30,53/27,1/3,-,-,-
2016,41/23,41/23,-,-,-,-
2015,50/32,46/27,4/5,-,-,-
2014,36/30,34/25,2/5,-,-,-
2013,51/27,42/23,9/4,-,-,-
2012,8/10,8/9,0/1,-,-,-
2011,25/31,20/26,5/5,-,-,-
2010,19/19,17/16,2/3,-,-,-
2009,2/4,1/2,1/2,-,-,-
2008,0/4,0/4,-,-,-,-
