Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,18/12,11/7,7/5,-,-,-
2024,10/7,8/4,2/3,-,-,-
2023,7/4,2/2,5/2,-,-,-
2022,1/1,1/1,-,-,-,-
