Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,249/186,18/31,119/86,90/50,22/19,-
2024,29/21,0/1,17/12,6/3,6/5,-
2023,19/31,0/5,3/10,15/11,1/5,-
2022,34/30,5/7,15/11,3/8,11/4,-
2021,43/32,2/8,14/10,23/10,4/4,-
2020,22/20,2/4,6/8,14/8,-,-
2019,34/22,1/1,18/13,15/7,0/1,-
2018,46/16,-,32/13,14/3,-,-
2017,5/3,-,5/3,-,-,-
2016,15/10,8/5,7/5,-,-,-
2015,2/1,-,2/1,-,-,-
