Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,46/28,32/19,4/2,-,-,10/7
2024,13/0,8/0,2/0,-,-,3/0
2023,9/4,7/2,0/1,-,-,2/1
2022,12/14,8/7,2/1,-,-,2/6
2021,12/10,9/10,-,-,-,3/0
