Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,370/238,209/118,104/83,53/29,4/6,0/2
2024,1/2,-,0/1,1/1,-,-
2023,11/19,6/10,5/9,-,-,-
2022,40/25,27/16,13/9,-,-,-
2021,18/11,9/4,7/5,2/2,-,-
2020,9/4,-,0/1,9/3,-,-
2019,13/11,0/3,13/8,-,-,-
2018,29/21,9/7,16/10,3/2,1/2,-
2017,26/24,17/11,8/8,1/4,0/1,-
2016,51/21,22/6,9/5,17/7,3/3,-
2015,45/26,31/20,7/5,7/1,-,-
2014,31/22,27/16,4/5,-,-,0/1
2013,23/21,15/11,7/7,1/2,-,0/1
2012,34/19,22/10,7/4,5/5,-,-
2011,29/8,21/3,1/3,7/2,-,-
2010,10/4,3/1,7/3,-,-,-
