Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,45/20,25/15,18/3,2/2,-,-
2024,18/7,16/6,-,2/1,-,-
2023,5/6,2/4,3/2,-,-,-
2022,19/5,4/4,15/1,-,-,-
2019,3/2,3/1,-,0/1,-,-
