Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,474/231,428/187,26/15,5/15,3/4,12/10
2023,0/5,0/4,0/1,-,-,-
2022,4/6,4/5,-,-,0/1,-
2021,0/2,-,0/2,-,-,-
2020,15/11,6/6,6/3,2/1,-,1/1
2019,35/22,32/17,-,0/3,2/1,1/1
2018,50/21,40/16,9/1,0/2,1/1,0/1
2017,53/28,53/22,0/1,0/2,0/1,0/2
2016,55/6,55/6,-,-,-,-
2014,4/5,4/5,-,-,-,-
2013,26/12,25/11,-,-,-,1/1
2012,28/19,27/15,-,0/3,-,1/1
2011,28/20,20/16,2/1,2/2,-,4/1
2010,52/18,50/16,0/1,0/1,-,2/0
2009,52/19,42/15,8/2,-,-,2/2
2008,52/20,50/16,1/3,1/1,-,-
2007,12/9,12/9,-,-,-,-
2006,7/3,7/3,-,-,-,-
2005,1/5,1/5,-,-,-,-
