Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,269/216,154/124,84/69,31/23,-,-
2024,10/6,3/4,7/2,-,-,-
2023,49/33,27/20,22/13,-,-,-
2022,9/7,2/1,7/5,0/1,-,-
2021,24/23,14/13,7/9,3/1,-,-
2020,5/10,3/6,2/4,-,-,-
2019,52/25,34/18,11/5,7/2,-,-
2018,8/6,8/5,0/1,-,-,-
2017,38/29,35/25,0/2,3/2,-,-
2016,26/27,15/10,10/15,1/2,-,-
2015,24/26,6/13,16/11,2/2,-,-
2014,16/14,4/5,2/2,10/7,-,-
2013,8/7,3/2,-,5/5,-,-
2012,0/2,0/2,-,-,-,-
2011,0/1,-,-,0/1,-,-
