Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES :  Umag (Croatia),clay,header
22.07. 21:50,Andreozzi G.,1,6,3,2,,,5,0,63%,55% (24/44),58% (15/26),0% (0/5),28% (16/57),53% (16/30),33% (3/9),26,11,59% (13/22),6,56% (39/70),37% (32/87),45% (71/157),4,62% (8/13),21% (3/14),41% (11/27),"['5', '4']","['1', '0', '2', '3']",[],[],[],3.51
22.07. 21:50,Trungelliti M.,2,4,6,6,,,4,3,66%,72% (41/57),47% (14/30),67% (6/9),45% (20/44),42% (11/26),100% (5/5),33,12,64% (9/14),8,63% (55/87),44% (31/70),55% (86/157),3,79% (11/14),38% (5/13),59% (16/27),[],"['1', '1', '3', '1', '4', '2']","['1', '0', '4', '1']",[],[],1.31
ATP - SINGLES :  Umag (Croatia) - Qualification,clay,header
21.07. 20:10,Andreozzi G.,2,6,7,,,,3,1,50%,73% (22/30),73% (22/30),67% (2/3),29% (10/34),48% (15/31),75% (3/4),21,9,75% (12/16),7,73% (44/60),38% (25/65),55% (69/125),3,91% (10/11),27% (3/11),59% (13/22),"['2', '1']","['1', '0', '6', '5']",[],[],[],3.44
21.07. 20:10,Tseng C. H.,0,4,5,,,,2,0,52%,71% (24/34),52% (16/31),25% (1/4),27% (8/30),27% (8/30),33% (1/3),18,11,70% (7/10),6,62% (40/65),27% (16/60),45% (56/125),3,73% (8/11),9% (1/11),41% (9/22),[],"['3', '3']",[],[],[],1.31
20.07. 19:40,Andreozzi G.,2,6,6,,,,4,1,52%,79% (27/34),59% (19/32),100% (6/6),32% (12/37),50% (11/22),67% (2/3),22,7,78% (7/9),6,70% (46/66),39% (23/59),55% (69/125),3,100% (10/10),20% (2/10),60% (12/20),"['2', '1']","['1', '0']",[],[],[],0
20.07. 19:40,Serdarusic N.,0,4,4,,,,3,2,63%,68% (25/37),50% (11/22),33% (1/3),21% (7/34),41% (13/32),0% (0/6),13,8,83% (5/6),4,61% (36/59),30% (20/66),45% (56/125),1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],0
CHALLENGER MEN - SINGLES :  Sassuolo (Italy),clay,header
18.06. 15:30,Andreozzi G.,0,2,4,,,,1,7,37%,61% (11/18),42% (13/31),44% (4/9),26% (6/23),44% (14/32),40% (2/5),5,49% (24/49),36% (20/55),42% (44/104),1,44% (4/9),22% (2/9),33% (6/18),[],"['1', '1', '2', '2']",[],[],[],2.13
18.06. 15:30,Travaglia S.,2,6,6,,,,5,4,42%,74% (17/23),56% (18/32),60% (3/5),39% (7/18),58% (18/31),56% (5/9),10,64% (35/55),51% (25/49),58% (60/104),6,78% (7/9),56% (5/9),67% (12/18),"['3', '2', '5', '2']","['1', '0', '2', '1', '3', '2']",[],[],[],1.68
CHALLENGER MEN - SINGLES :  Sassuolo (Italy) - Qualification,clay,header
17.06. 16:40,Andreozzi G.,2,6,6,,,,1,5,60%,81% (22/27),56% (10/18),0% (0/1),36% (8/22),64% (14/22),71% (5/7),8,71% (32/45),50% (22/44),61% (54/89),6,88% (7/8),63% (5/8),75% (12/16),"['4', '3', '6', '3']","['1', '1', '3', '1', '5', '1']",[],[],[],1.30
17.06. 16:40,Ellis B.,0,3,1,,,,7,2,50%,64% (14/22),36% (8/22),29% (2/7),19% (5/27),44% (8/18),100% (1/1),4,50% (22/44),29% (13/45),39% (35/89),1,38% (3/8),13% (1/8),25% (4/16),[],"['1', '0']",[],[],[],3.40
16.06. 20:45,Andreozzi G.,2,6,3,7^7,,,1,5,56%,60% (32/53),55% (23/42),17% (1/6),47% (31/66),56% (20/36),46% (6/13),7,58% (55/95),50% (52/104),54% (107/199),7,64% (9/14),46% (6/13),56% (15/27),"['2', '0', '4', '0', '6', '0']",[],"['1', '0', '3', '0', '4', '1']",[],[],1.17
16.06. 20:45,Pieri S.,1,0,6,6^4,,,5,1,65%,53% (35/66),44% (16/36),54% (7/13),40% (21/53),45% (19/42),83% (5/6),6,50% (52/104),42% (40/95),46% (92/199),3,54% (7/13),36% (5/14),44% (12/27),[],"['2', '1', '6', '3']","['1', '3', '2', '4', '5', '5']",[],[],4.74
CHALLENGER MEN - SINGLES :  Perugia (Italy) - Qualification,clay,header
10.06. 15:10,Andreozzi G.,1,4,6,3,,,3,4,64%,73% (36/49),54% (15/28),33% (1/3),27% (17/63),60% (27/45),18% (2/11),9,66% (51/77),41% (44/108),51% (95/185),4,85% (11/13),14% (2/14),48% (13/27),[],"['1', '0', '3', '0']",[],[],[],1.45
10.06. 15:10,Oradini G.,2,6,2,6,,,11,2,58%,73% (46/63),40% (18/45),82% (9/11),27% (13/49),46% (13/28),67% (2/3),5,59% (64/108),34% (26/77),49% (90/185),3,86% (12/14),15% (2/13),52% (14/27),"['6', '4']",[],"['2', '0']",[],[],2.66
09.06. 18:10,Andreozzi G.,2,7^7,6,,,,3,2,52%,85% (28/33),61% (19/31),100% (3/3),28% (13/47),52% (12/23),25% (2/8),8,73% (47/64),36% (25/70),54% (72/134),3,100% (10/10),18% (2/11),57% (12/21),[],"['3', '2', '6', '3']",[],[],[],1.68
09.06. 18:10,Nijboer R.,0,6^5,3,,,,1,3,67%,72% (34/47),48% (11/23),75% (6/8),15% (5/33),39% (12/31),0% (0/3),6,64% (45/70),27% (17/64),46% (62/134),1,82% (9/11),0% (0/10),43% (9/21),[],[],[],[],[],2.13
ATP - SINGLES :  Lyon (France) - Qualification,clay,header
18.05. 14:10,Andreozzi G.,0,6^5,4,,,,0,3,50%,68% (28/41),46% (19/41),67% (6/9),28% (11/40),34% (10/29),50% (2/4),19,16,67% (14/21),4,57% (47/82),30% (21/69),45% (68/151),3,73% (8/11),18% (2/11),45% (10/22),"['2', '3', '5', '4']",[],[],[],[],3.80
18.05. 14:10,Gaston H.,2,7^7,6,,,,7,2,58%,73% (29/40),66% (19/29),50% (2/4),32% (13/41),54% (22/41),33% (3/9),28,11,88% (7/8),8,70% (48/69),43% (35/82),55% (83/151),3,82% (9/11),27% (3/11),55% (12/22),"['2', '0', '5', '5']","['4', '3']",[],[],[],1.27
CHALLENGER MEN - SINGLES :  Ostrava (Czech Republic) - Qualification,clay,header
