Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,490/338,397/260,83/61,3/6,3/10,4/1
2024,8/8,8/7,0/1,-,-,-
2023,37/28,24/20,9/6,0/1,-,4/1
2022,16/9,9/9,7/0,-,-,-
2021,12/23,11/18,1/4,-,0/1,-
2019,29/30,20/18,8/9,-,1/3,-
2018,45/25,42/19,3/5,-,0/1,-
2017,29/26,26/22,2/2,1/2,-,-
2016,50/27,46/23,4/2,0/1,0/1,-
2015,29/28,19/17,7/7,2/2,1/2,-
2014,31/24,24/20,7/3,-,0/1,-
2013,44/24,39/18,4/5,-,1/1,-
2012,51/22,41/17,10/5,-,-,-
2011,36/23,20/15,16/8,-,-,-
2010,21/9,19/7,2/2,-,-,-
2009,27/17,24/15,3/2,-,-,-
2008,18/10,18/10,-,-,-,-
2007,7/5,7/5,-,-,-,-
