Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,487/393,176/141,232/180,77/70,2/2,-
2024,26/26,10/11,11/10,3/3,2/2,-
2023,52/37,16/14,23/16,13/7,-,-
2022,39/31,12/12,11/9,16/10,-,-
2021,36/30,22/15,4/5,10/10,-,-
2020,16/14,2/1,10/9,4/4,-,-
2019,44/34,23/16,20/13,1/5,-,-
2018,56/23,22/3,26/14,8/6,-,-
2017,29/25,3/6,25/17,1/2,-,-
2016,37/33,4/4,32/24,1/5,-,-
2015,17/20,6/11,7/4,4/5,-,-
2014,20/21,3/7,10/10,7/4,-,-
2013,26/28,9/9,15/17,2/2,-,-
2012,43/24,21/12,17/9,5/3,-,-
2011,34/33,17/15,17/18,-,-,-
2010,10/9,6/5,3/2,1/2,-,-
2009,2/5,-,1/3,1/2,-,-
