Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,122/137,100/102,16/30,6/5,-,-
2024,17/22,9/10,6/10,2/2,-,-
2023,33/28,30/23,0/4,3/1,-,-
2022,24/28,24/28,-,-,-,-
2021,22/25,22/23,0/2,-,-,-
2020,11/11,9/7,1/3,1/1,-,-
2019,11/17,6/11,5/5,0/1,-,-
2018,4/6,-,4/6,-,-,-
