Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,71/78,56/60,9/9,6/9,-,-
2024,23/17,23/15,0/2,-,-,-
2023,6/8,6/7,-,0/1,-,-
2022,2/2,1/1,1/1,-,-,-
2021,13/9,8/6,5/3,-,-,-
2019,9/11,8/10,1/1,-,-,-
2018,10/12,4/8,2/2,4/2,-,-
2017,7/11,6/8,-,1/3,-,-
2016,1/7,0/5,-,1/2,-,-
2015,0/1,-,-,0/1,-,-
