Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,121/65,17/14,65/37,33/7,6/7,-
2024,32/20,8/4,18/11,2/1,4/4,-
2023,28/26,4/8,21/13,1/2,2/3,-
2022,40/11,-,16/9,24/2,-,-
2021,21/8,5/2,10/4,6/2,-,-
