Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,229/130,49/33,114/64,64/30,2/2,0/1
2024,3/5,-,3/5,-,-,-
2023,35/21,17/9,10/6,8/6,-,-
2022,28/25,8/8,11/10,8/6,1/1,-
2021,41/15,2/4,13/7,25/3,1/1,-
2020,41/11,0/1,33/6,8/3,-,0/1
2019,11/17,0/3,6/8,5/6,-,-
2018,43/16,14/2,24/13,5/1,-,-
2017,21/12,4/2,13/7,4/3,-,-
2016,2/5,1/2,1/2,0/1,-,-
2015,4/3,3/2,-,1/1,-,-
