Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,297/263,205/193,52/34,37/35,-,3/1
2024,9/14,9/13,0/1,-,-,-
2023,13/17,11/16,-,2/1,-,-
2022,15/21,11/14,0/2,4/5,-,-
2021,23/12,16/8,1/1,3/2,-,3/1
2020,24/10,21/7,-,3/3,-,-
2019,14/16,13/13,1/3,-,-,-
2018,31/22,12/11,18/10,1/1,-,-
2017,6/6,1/3,5/3,-,-,-
2016,21/25,18/19,-,3/6,-,-
2015,30/32,10/17,8/7,12/8,-,-
2014,44/26,22/17,19/7,3/2,-,-
2013,30/31,24/27,-,6/4,-,-
2012,20/19,20/16,-,0/3,-,-
2011,13/8,13/8,-,-,-,-
2010,3/2,3/2,-,-,-,-
2009,1/2,1/2,-,-,-,-
