Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,50/29,-,50/29,-,-,-
2024,6/5,-,6/5,-,-,-
2023,22/9,-,22/9,-,-,-
2022,16/7,-,16/7,-,-,-
2021,1/2,-,1/2,-,-,-
2020,1/1,-,1/1,-,-,-
2019,0/2,-,0/2,-,-,-
2018,4/3,-,4/3,-,-,-
