Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,139/93,99/54,11/13,28/20,1/6,-
2024,32/26,28/18,0/2,4/4,0/2,-
2023,34/32,18/14,6/5,9/11,1/2,-
2022,50/24,42/15,4/5,4/3,0/1,-
2021,11/10,4/6,1/1,6/2,0/1,-
2020,12/1,7/1,-,5/0,-,-
